crn_number,subject,course_number,title,cred_number,typekey,days,times,lockey_number,lockey,instructor,seats_number,totenrl_number
10186,CHM,235.501,Orgnc Chm I Lab,0,LAB,M,11:00AM- 01:45PM,207,CH 207,Halligan K,16,5
10187,CHM,235.502,Orgnc Chm I Lab,0,LAB,M,06:30PM- 09:15PM,207,CH 207,Sigel G,16,12
10188,CHM,235.503,Orgnc Chm I Lab,0,LAB,T,02:00PM- 04:45PM,207,CH 207,Leake J,16,5
10189,CHM,235.504,Orgnc Chm I Lab,0,LAB,T,06:30PM- 09:15PM,207,CH 207,Amereihn K,16,3
10190,CHM,235.505,Orgnc Chm I Lab,0,LAB,W,11:00AM- 01:45PM,207,CH 207,Fautch J,16,1
10191,CHM,235.506,Orgnc Chm I Lab,0,LAB,W,02:00PM- 04:45PM,207,CH 207,Leake J,16,5
10192,CHM,236.101,Organic Chem II,4,LEC,T R,11:00AM- 12:15PM,232,CH 232,Halligan K,24,3
10193,CHM,237.501,Org Chm II Lab,0,LAB,W,06:30PM- 09:15PM,207,CH 207,Williams M,12,6
10194,CHM,237.502,Org Chm II Lab,0,LAB,R,02:00PM- 04:45PM,207,CH 207,Leake J,12,6
10195,CHM,240.101,Perspect/Molecular,3,LEC,M W,08:00AM- 08:50AM,229,CH 229,Steel W,20,3
10196,CHM,240.102,Perspect/Molecular,3,LEC,M F,09:00AM- 09:50AM,232,CH 232,Foresman J,20,18
10197,CHM,241.501,Persp/Molec Lab,0,LAB,W,08:00AM- 10:45AM,110,CH 110,Staff,20,18
10198,CHM,241.502,Persp/Molec Lab,0,LAB,F,08:00AM- 10:45AM,110,CH 110,Staff,20,14
10199,CHM,336.101,Quant Analy Chm,4,LEC,M W,10:00AM- 10:50AM,107,CH 107,Foy G,20,0
10200,CHM,337.501,Quant Chem Lab,0,LAB,M W,11:00AM- 01:45PM,210,CH 210,Foy G,10,9
10201,CHM,337.502,Quant Chem Lab,0,LAB,M W,02:00PM- 04:45PM,210,CH 210,Foy G,10,10
10202,CHM,344.101,Physical Chem I,4,LEC,T R,09:30AM- 10:45AM,103,CH 103,Foresman J,12,2
10203,CHM,345.501,Phys Chem I Lab,0,LAB,T,11:00AM- 01:45PM,207,CH 207,Foresman J,12,7
10204,CHM,444.101,Inorganic Chem,3,LEC,T R,08:00AM- 09:15AM,103,CH 103,Steel W,16,1
10205,CHM,444.102,Inorganic Chem,3,LEC,T R,12:30PM- 01:45PM,228,CH 228,Steel W,16,0
10309,CS,100.101,CPADS I,3,L/L,M W F,09:00AM- 09:50AM,119,KEC 119,Hake D,14,7
10325,CS,100.102,CPADS I,3,L/L,M W F,10:00AM- 10:50AM,119,KEC 119,Babcock D,14,8
10327,CS,100.103,CPADS I,3,L/L,M W F,11:00AM- 11:50AM,119,KEC 119,Babcock D,14,7
10329,CS,201.101,Fund Comp Sci II,3,LEC,W F,10:00AM- 11:15AM,123,KEC 123,Hake D,16,9
10332,CS,201.102,Fund Comp Sci II,3,LEC,W F,12:00PM- 01:15PM,123,KEC 123,Hake D,16,13
10339,CS,201.103,Fund Comp Sci II,3,LEC,W F,12:00PM- 01:15PM,124,KEC 124,Hovemeyer D,16,2
10337,CS,201.104,Fund Comp Sci II,3,LEC,W F,02:00PM- 03:15PM,123,KEC 123,Hake D,16,7
10348,CS,330.801,Network App/Protcls,3,LEC,T R,05:00PM- 06:15PM,124,KEC 124,Staff,18,3
10352,CS,340.101,Program Lang Desgn,3,LEC,T R,09:30AM- 10:45AM,119,KEC 119,Hovemeyer D,12,8
10353,CS,340.102,Program Lang Desgn,3,LEC,T R,11:00AM- 12:15PM,119,KEC 119,Hovemeyer D,12,2
10355,CS,350.101,Data Structures,3,LEC,T R,12:30PM- 01:45PM,119,KEC 119,Moscola J,12,11
10359,CS,350.102,Data Structures,3,LEC,T R,02:00PM- 03:15PM,119,KEC 119,Moscola J,12,3
10361,CS,370.101,Comp Graph Progrm I,3,LEC,T R,09:30AM- 10:45AM,123,KEC 123,Babcock D,12,0
10362,CS,370.102,Comp Graph Progrm I,3,LEC,T R,11:00AM- 12:15PM,123,KEC 123,Babcock D,12,9
10363,CS,420.101,Operating Systems,3,LEC,M W F,01:00PM- 01:50PM,119,KEC 119,Moscola J,12,5
10364,CS,420.102,Operating Systems,3,LEC,M W F,02:00PM- 02:50PM,119,KEC 119,Moscola J,12,5
10365,CS,456.101,Social/Prof Issues,3,LEC,T R,12:30PM- 01:45PM,117,KEC 117,Babcock D,12,3
10366,CS,481.101,Sr Softwre Projct I,3,L/L,M,12:00PM- 12:50PM,118,KEC 118,Moscola J,14,0
,,,,,,,,,,Hake D,,0
10279,IA,100.101,Intro Intell Anlys,3,LEC,M W F,08:00AM- 08:50AM,130,HUM 130,Weaver J,30,1
10280,IA,100.102,Intro Intell Anlys,3,LEC,M W F,09:00AM- 09:50AM,206,HUM 206,Weaver J,30,11
10281,IA,200.101,Intell Anlys Method,3,LEC,T R,09:30AM- 10:45AM,203,CH 203,Weaver J,25,17
10282,IA,210.101,Writing/Intelligence,3,LEC,T R,11:00AM- 12:15PM,205,CH 205,Weaver J,25,3
10470,IBS,200.101,Internatl Business,3,LEC,M W F,11:00AM- 11:50AM,304,WBC 304,Osborn R,30,2
10472,IBS,200.102,Internatl Business,3,LEC,M W F,12:00PM- 12:50PM,304,WBC 304,Osborn R,30,17
10474,IBS,370.801,Internat Marketing,3,LEC,W,06:30PM- 09:15PM,126,HUM 126,Hansen K,30,8
10475,IBS,375.101,Internat Managemnt,3,LEC,M W,03:00PM- 04:15PM,314,WBC 314,Barteld J,30,30
10477,IBS,405.101,Internatl Finance,3,LEC,M W,03:00PM- 04:15PM,221,WBC 221,Madhogarhia P,30,16
11473,IBS,415.801,Interntnl Acctng,3,LEC,R,06:30PM- 09:15PM,127,LS 127,Staff,30,12
10478,IBS,480.101,Glob Sup Chain Mgmt,3,LEC,T R,09:30AM- 10:45AM,206,WBC 206,Sumutka A,25,24
10428,ENT,150.101,Intro Entrepreneur,3,LEC,M W F,12:00PM- 12:50PM,225,WBC 225,March M,25,21
10431,ENT,150.102,Intro Entrepreneur,3,LEC,T R,09:30AM- 10:45AM,404,WBC 404,Azriel J,25,19
10432,ENT,150.103,Intro Entrepreneur,3,LEC,T R,11:00AM- 12:15PM,203,CH 203,Azriel J,25,6
10434,ENT,150.104,Intro Entrepreneur,3,LEC,T R,02:00PM- 03:15PM,126,LS 126,Azriel J,25,25
10437,ENT,350.101,Creativity/Innovtn,3,LEC,T R,09:30AM- 10:45AM,228,CH 228,Patnode G,25,9
10439,ENT,472.101,Special Topics,3,LEC,T R,12:30PM- 01:45PM,223,CH 223,Brubaker J,25,17
11005,REL,265.101,World Religions,3,LEC,M W F,09:00AM- 09:50AM,144,HUM 144,Shusko C,35,2
11007,REL,265.102,World Religions,3,LEC,M W F,10:00AM- 10:50AM,144,HUM 144,Shusko C,35,28
11010,REL,265.103,World Religions,3,LEC,M W F,11:00AM- 11:50AM,129,HUM 129,Layman D,35,30
11011,REL,265.104,World Religions,3,LEC,T R,08:00AM- 09:15AM,144,HUM 144,Rodkey C,35,15
11013,REL,275.101,Trad/Cult Chrstnty,3,LEC,M W F,01:00PM- 01:50PM,207,HUM 207,Shusko C,25,18
11015,REL,368.101,Rel/Society/Cult,3,LEC,T R,11:00AM- 12:15PM,143,HUM 143,Shusko C,25,11
10867,FRN,101.101,Elem French I,3,LEC,M W F,09:00AM- 09:50AM,207,HUM 207,Eskridge D,25,20
10869,FRN,101.102,Elem French I,3,LEC,T R,11:00AM- 12:15PM,142,HUM 142,Herr P,25,23
10872,FRN,102.101,Elem French II,3,LEC,M W F,10:00AM- 10:50AM,207,HUM 207,Eskridge D,25,13
10874,FRN,201.101,Inter French I,3,LEC,M W F,11:00AM- 11:50AM,207,HUM 207,Eskridge D,20,18
10875,FRN,203.101,French for Business,3,LEC,T R,12:30PM- 01:45PM,140,HUM 140,Herr P,15,10
11308,EDU,200.101,Found of Education,3,LEC,M W,03:00PM- 04:15PM,125,LS 125,Fredericks A,25,10
11309,EDU,200.102,Found of Education,3,LEC,T R,12:30PM- 01:45PM,129,LS 129,Fredericks A,25,20
10662,EDU,225.101,Instrc Needs/ELL,3,LEC,M W,03:00PM- 04:15PM,129,LS 129,Kocoronis L,25,14
10663,EDU,225.801,Instrc Needs/ELL,3,LEC,T,06:30PM- 09:15PM,129,LS 129,Staff,25,24
10664,EDU,230.101,Intro to the Arts,3,LEC,T R,08:00AM- 09:15AM,104,WOLF 104,Kling B,30,9
,,,,,,T R,08:00AM- 09:15AM,316,WOLF 316,Kates C,,0
10665,EDU,230.801,Intro to the Arts,3,LEC,M W,05:00PM- 06:15PM,104,WOLF 104,Kehler H,30,13
,,,,,,M W,05:00PM- 06:15PM,316,WOLF 316,Inman J,,0
10669,EDU,240.101,Educ Assessment,2,LEC,M W,12:00PM- 12:50PM,142,LS 142,Dammann S,25,3
10671,EDU,250.101,Science Concepts/Ed,3,LEC,T R,12:30PM- 01:45PM,126,LS 126,Hesson N,25,10
10686,EDU,260.101,Eff Comm in Educ,3,LEC,M W F,10:00AM- 10:50AM,127,LS 127,Speelman R,25,14
10688,EDU,260.102,Eff Comm in Educ,3,LEC,T R,11:00AM- 12:15PM,102,LS 102,Speelman R,25,24
10718,EDU,270.101,Special Topics/Edu,1,LEC,M,01:00PM- 01:50PM,129,LS 129,Davenport J,25,15
10727,EDU,270.102,Special Topics/Edu,1,LEC,M,02:00PM- 02:50PM,129,LS 129,Davenport J,25,25
10877,GRM,101.101,Elem German I,3,LEC,M W F,09:00AM- 09:50AM,140,HUM 140,Boldt M,25,3
10879,GRM,101.102,Elem German I,3,LEC,M W F,10:00AM- 10:50AM,140,HUM 140,Boldt M,25,13
10881,GRM,201.101,Inter German I,3,LEC,M W F,11:00AM- 11:50AM,140,HUM 140,Boldt M,20,16
10883,GRM,205.101,Inter German Convs,3,LEC,T R,09:30AM- 10:45AM,145,HUM 145,Boldt M,15,10
10752,SOC,100.101,Intro Sociology,3,LEC,M W F,08:00AM- 08:50AM,304,LS 304,Langley M,30,12
10756,SOC,100.102,Intro Sociology,3,LEC,M W F,09:00AM- 09:50AM,304,LS 304,Langley M,30,2
10757,SOC,100.103,Intro Sociology,3,LEC,M W F,10:00AM- 10:50AM,311,LS 311,Collamer P,30,15
10758,SOC,100.104,Intro Sociology,3,LEC,M W F,11:00AM- 11:50AM,311,LS 311,Collamer P,30,16
10759,SOC,100.105,Intro Sociology,3,LEC,M W F,12:00PM- 12:50PM,301,LS 301,Jacob S,30,12
10761,SOC,100.106,Intro Sociology,3,LEC,M W F,01:00PM- 01:50PM,311,LS 311,Schreiber T,30,28
11467,SOC,100.107,Intro Sociology,3,LEC,M W F,02:00PM- 02:50PM,311,LS 311,Schreiber T,30,24
10765,SOC,100.108,Intro Sociology,3,LEC,T R,08:00AM- 09:15AM,312,LS 312,Christine A,30,7
10766,SOC,100.109,Intro Sociology,3,LEC,T R,09:30AM- 10:45AM,303,CH 303,Christine A,30,27
10769,SOC,100.110,Intro Sociology,3,LEC,T R,11:00AM- 12:15PM,231,CH 231,Brenner A,30,29
10773,SOC,100.111,Intro Sociology,3,LEC,T R,12:30PM- 01:45PM,227,CH 227,Brenner A,30,30
10778,SOC,100.112,Intro Sociology,3,LEC,T R,02:00PM- 03:15PM,231,CH 231,Harrop-Stein C,30,22
10779,SOC,100.801,Intro Sociology,3,LEC,M,06:30PM- 09:15PM,312,LS 312,Bitner A,30,3
10782,SOC,201.801,Family Violence,3,LEC,W,06:30PM- 09:15PM,311,LS 311,Azzaro R,30,14
10784,SOC,210.101,Drug/Alcohol Addctn,3,LEC,T R,08:00AM- 09:15AM,304,LS 304,Doll C,30,18
10786,SOC,210.801,Drug/Alcohol Addctn,3,LEC,R,06:30PM- 09:15PM,311,LS 311,Doll C,30,22
10787,SOC,220.101,Am Social Problems,3,LEC,T R,09:30AM- 10:45AM,312,LS 312,Steck L,25,11
10789,SOC,220.102,Am Social Problems,3,LEC,T R,11:00AM- 12:15PM,129,LS 129,Steck L,25,16
10793,SOC,225.801,The Family,3,LEC,T,06:30PM- 09:15PM,311,LS 311,Staff,30,16
10799,SOC,230.101,Dev of Soc Theory,3,LEC,M W F,09:00AM- 09:50AM,310,LS 310,Bittner G,25,14
10801,SOC,230.102,Dev of Soc Theory,3,LEC,M W F,11:00AM- 11:50AM,310,LS 310,Bittner G,25,19
10803,SOC,301.101,Environmental Soc,3,LEC,M W F,09:00AM- 09:50AM,331,LS 331,Jacob S,30,21
10805,SOC,310.101,Soc/Organizations,3,LEC,M W F,11:00AM- 11:50AM,301,LS 301,Jacob S,30,25
10806,SOC,315.801,Ethnic/Minorities,3,LEC,T,06:30PM- 09:15PM,312,LS 312,Steck L,30,16
10807,SOC,320.101,Criminology,3,LEC,M W F,08:00AM- 08:50AM,312,LS 312,Bitner A,30,7
10808,SOC,336.101,Quant Res Methods,3,LEC,T R,08:00AM- 09:15AM,301,LS 301,Jacob S,20,6
10810,SOC,375.101,Soc Stratification,3,LEC,T R,02:00PM- 03:15PM,310,LS 310,Steck L,25,25
10812,SOC,420.101,Selected Topics,3,LEC,M W F,01:00PM- 01:50PM,310,LS 310,Richard C,25,11
10814,SOC,436.101,App Volunteer Mgmt,3,LEC,M W F,12:00PM- 12:50PM,310,LS 310,Steck L,25,18
10815,SOC,495.101,Sociology Internshp,3,INT,W,02:00PM- 02:50PM,335,LS 335,Steck L,0,0
10385,BUS,150.101,Intro to Business,3,LEC,M W F,09:00AM- 09:50AM,225,WBC 225,March M,25,4
10386,BUS,260.101,Legal Environment,3,LEC,M W F,12:00PM- 12:50PM,403,WBC 403,Benn N,30,14
10387,BUS,260.102,Legal Environment,3,LEC,T R,08:00AM- 09:15AM,225,WBC 225,Bange K,30,25
10388,BUS,260.801,Legal Environment,3,LEC,T R,05:00PM- 06:15PM,403,WBC 403,Livaditis D,30,21
10389,BUS,260.802,Legal Environment,3,LEC,T,06:30PM- 09:15PM,403,WBC 403,Livaditis D,30,12
10390,BUS,260.803,Legal Environment,3,LEC,W,06:30PM- 09:15PM,225,WBC 225,Bange K,30,30
10391,BUS,360.801,Bus/Commercial Law,3,LEC,T R,05:00PM- 06:15PM,408,WBC 408,Addison B,30,19
10392,BUS,494.101,Integrated Bus Exp,3,LEC,M W,03:00PM- 04:15PM,310,WBC 310,O'Connell R,20,12
,,,,,,T,03:30PM- 04:45PM,310,WBC 310,,,0
,,,,,,R,03:30PM- 04:45PM,118,WBC 118,,,0
10393,BUS,494.102,Integrated Bus Exp,3,LEC,T R,11:00AM- 12:15PM,310,WBC 310,Woodall J,20,9
,,,,,,T,03:30PM- 04:45PM,310,WBC 310,,,0
,,,,,,R,03:30PM- 04:45PM,118,WBC 118,,,0
10395,BUS,494.103,Integrated Bus Exp,3,LEC,T R,02:00PM- 03:15PM,225,WBC 225,Meisenhelter C,20,12
,,,,,,T,03:30PM- 04:45PM,310,WBC 310,,,0
